‘AvgRequestNo’,‘AvgTimeBetwReq’,‘AvgTimeBetwRespReq’,AvgDataRate,AvgPacketNo,‘AvgPacketSize’,‘AvgConcurrentReq’,‘MaxReq’,‘AvgDuration’,Class
1.929,0.344,0.193,0.855,78.999,1352.936,4.446,87,1.663,normal
14.477,0.074,0.024,2.664,270.682,1230.352,9.985,69,1.435,normal
7.602,0.135,0.0729,1.482,144.447,1282.578,5.406,56,1.764,normal
7.288,0.139,0.081,1.177,119.354,1232.812,5.716,58,1.634,normal
9.006,0.112,0.062,1.831,173.561,1318.357,6.291,69,1.131,normal
7.288,0.139,0.069,2.285,212.292,1345.302,4.848,83,2.153,normal
7.905,0.127,0.077,2.082,197.785,1315.715,5.371,67,1.287,normal
12.708,0.078,0.043,2.195,207.886,1319.55,8.51,93,1.994,normal
10.399,0.098,0.048,1.202,117.888,1274.754,7.911,58,3.754,normal
13.525,0.075,0.044,3.184,290.296,1371.106,8.956,73,2.221,normal
5.043,0.202,0.097,0.712,70.178,1268.477,3.51,82,4.73,normal
8.908,0.114,0.062,1.805,170.383,1324.567,5.394,78,1.557,normal
7.08,0.156,0.089,1.485,140.488,1321.176,5.367,54,1.568,normal
6.612,0.152,0.086,1.725,162.431,1327.63,4.6,74,1.4,normal
1.62,1.109,0.918,0.149,17.925,1035.823,1.613,7,0.04,normal
1.3,0.787,0.706,0.153,15.727,1217.645,0.953,14,0.036,normal
6.264,0.412,0.311,0.76,77.412,1227.916,3.329,41,0.022,normal
1.62,1.109,0.918,0.149,17.925,1035.823,1.613,7,0.04,normal
1.136,0.882,0.758,0.038,6.293,745.685,1.073,12,0.047,normal
2.336,0.887,0.703,0.153,20.679,925.817,2.028,10,0.054,normal
2.404,0.426,0.343,0.152,19.896,952.86,2.128,35,0.017,normal
1.332,0.779,0.539,0.149,19.32,966.176,1.088,22,0.013,normal
0.939,1.191,1.018,0.031,7.786,494.236,1.109,16,9.656,normal
1,0.936,1.253,0.004,1,469.167,1.5,4,0.003,normal
2.58,14.923,5.714,0.336,31.463,1334.135,2.406,35,0.285,normal
2.664,4.143,2.659,0.751,68.346,1372.722,2.155,45,0.156,normal
6.36,6.752,17.619,1.362,126.15,1349.569,5.129,70,0.146,normal
0.27,149.538,44.5434,0.093,8.422,1385.379,0.227,35,0.34,normal
0.043,967.575,223.035,0.013,1.156,1364.239,0.044,4,0.606,normal
0.038,1083.206,237.484,0.004,0.436,1267.099,0.036,4,0.499,normal
0.01,1030.917,215.638,0.001,0.13,1288.478,0.01,4,0.395,normal
6.264,0.412,0.311,0.76,77.412,1227.916,3.329,41,0.022,normal
0.399,3.506,5.082,0.018,1.94,1168.494,0.344,43,0.061,normal
5.033,2.132,1.896,0.314,32.546,1206.387,4.731,53,0.208,normal
0.231,183.725,42.685,0.028,2.739,1282.604,0.199,23,0.368,normal
0.041,1031.494,211.495,0.013,1.195,1373.807,0.034,6,0.283,normal
0.445,95.962,24.263,0.225,20.17,1393.511,0.317,22,0.121,normal
0.05,7.747,6.521,0.005,0.575,1148.609,0.042,2,0.292,normal
1.533,27.184,8.785,1.701,150.463,1413.152,1.124,43,0.235,normal
0.018,554.015,124.088,0.046,4.004,1420.727,0.01,13,0.373,normal
5,0.034,0.028,0.237,25,1186.48,5,5,0.006,normal
0.447,64.387,24.897,1.124,98.934,1419.84,0.359,27,0.208,normal
2.349,5.03,15.22,0.728,66.805,1362.783,1.905,50,0.254,normal
6.1,0.203,0.225,1.521,138.25,1375.009,3.05,17,0.061,normal
1.3,0.787,0.706,0.153,15.727,1217.645,0.953,14,0.036,normal
3.923,10.852,42.189,1.245,112.59,1382.606,3.146,62,0.138,normal
1.839,22.998,30.905,1.111,100.491,1382.357,1.384,57,0.237,normal
0.008,569.977,200.004,0.001,0.108,1289.813,0.009,5,3.427,normal
1.165,35.832,15.655,1.801,158.968,1415.785,0.984,32,0.302,normal
1.62,1.109,0.918,0.149,17.925,1035.823,1.613,7,0.04,normal
5.033,2.132,1.896,0.314,32.546,1206.387,4.731,53,0.208,normal
0.231,183.725,42.685,0.028,2.739,1282.604,0.199,23,0.368,normal
0.041,1031.494,211.495,0.013,1.195,1373.807,0.034,6,0.283,normal
0.445,95.962,24.263,0.225,20.17,1393.511,0.317,22,0.121,normal
0.05,7.747,6.521,0.005,0.575,1148.609,0.042,2,0.292,normal
1.533,27.184,8.785,1.701,150.463,1413.152,1.124,43,0.235,normal
0.018,554.015,124.088,0.046,4.004,1420.727,0.01,13,0.373,normal
5,0.034,0.028,0.237,25,1186.48,5,5,0.006,normal
0.447,64.387,24.897,1.124,98.934,1419.84,0.359,27,0.208,normal
2.349,5.03,15.22,0.728,66.805,1362.783,1.905,50,0.254,normal
6.1,0.203,0.225,1.521,138.25,1375.009,3.05,17,0.061,normal
0.088,13.017,12.446,0.015,1.4,1356.929,0.05,2,0.215,normal
3.923,10.852,42.189,1.245,112.59,1382.606,3.146,62,0.138,normal
1.839,22.998,30.905,1.111,100.491,1382.357,1.384,57,0.237,normal
0.008,569.977,200.004,0.001,0.108,1289.813,0.009,5,3.427,normal
1.165,35.832,15.655,1.801,158.968,1415.785,0.984,32,0.302,normal
1.62,1.109,0.918,0.149,17.925,1035.823,1.613,7,0.04,normal
2.692,0.708,0.598,0.356,31.923,1393.062,2.154,10,0.118,normal
0.027,3.205,0.298,1.568,144.308,1358.199,0.031,5,0.551,normal
2,0.694,0.472,0.022,2,1405,1.5,2,0.107,normal
0.38,4.051,4.02,0.059,6.38,1164.097,0.44,5,0.07,normal
1.9,1.755,4.269,0.108,10.3,1316.471,1.7,17,0.048,normal
6.05,0.194,0.129,0.191,19.45,1230.99,6.15,27,0.49,normal
1.775,0.671,0.34,0.106,10.55,1261.54,1.65,15,0.172,normal
6.067,0.208,0.27,0.463,43.867,1320.084,5.733,31,0.161,normal
0.03,42.854,3.373,0.001,0.03,252,0.015,1,37.016,normal
0.07,13.976,0.139,0.001,0.07,252,0.047,2,32.443,normal
6.3,0.221,0.317,0.453,44.2,1281.328,6.7,39,0.078,normal
32,0.011,0.012,0.552,77,896.74,32,32,0.026,normal
2.861,0.346,0.654,0.32,29.583,1351.818,2.694,40,0.04,normal
4.467,0.246,0.356,0.177,19.166,1157.31,3.9,53,0.189,normal
0.758,1.328,0.413,0.062,6.168,1246.788,0.673,32,2.227,normal
1.5,0.734,0.494,0.153,14.333,1335.16,1.708,13,0.174,normal
1.543,0.676,0.86,0.071,6.886,1291.83,1.4,9,0.076,normal
10.077,0.106,0.181,0.881,83,1326.52,8,101,0.049,normal
17.167,0.055,0.024,7.717,664.833,1450.979,8.833,38,0.1,normal
0.244,3.594,0.256,3.598,297.258,1512.821,0.216,52,0.0462,normal
2.467,0.405,0.652,0.559,49.283,1418.652,1.767,32,0.039,normal
1,0.057,0.071,2.284,212,1346.712,11,11,0.034,normal
7.588,0.105,0.055,3.587,302.412,1482.705,3.588,26,0.082,normal
0.875,0.95,1.777,0.692,57.625,1500.952,0.875,6,0.103,normal
24,0.018,0.049,4.581,414,1383.176,24,24,0.009,normal
4.683,0.278,0.536,0.418,40.083,1302.671,3.783,21,0.051,normal
5.65,0.172,0.205,0.668,59.85,1395.805,4.588,46,0.052,normal
0.031,36.924,5.875,0.044,3.741,1475.798,0.0545,6,31.847,normal
27,0.018,0.017,0.947,109,1085.56,27,27,0.033,normal
0.176,0.818,0.731,4.753,392.559,1513.492,0.176,4,0.08,normal
0.07,18.549,2.658,0.001,0.11,407.455,0.06,2,16.026,normal
6,0.144,0.135,0.047,9,648,6,6,0.104,normal
0.647,1.698,2.168,0.029,2.824,1298.708,0.765,4,0.17,normal
1.1,1.698,2.168,0.05,4.8,1298.708,1.3,4,0.17,normal
0.5,2.073,1.302,0.038,4,1200.5,1,3,0.851,normal
0.019,19758.023,20445.846,1.363,112.56,1513.184,0.021,3,0.449,normal
5.117,0.203,0.333,0.006,5.117,139.084,4.915,11,0.001,normal
0.205,4.652,3.605,0.257,22.19,1449.841,0.205,8,0.198,normal
1.242,0.805,1.664,0.148,13.453,1371.179,1.059,26,0.157,normal
12.769,0.06,0.04,3.396,294,1443.695,7.23,25,0.103,normal
6.533,0.08,0.075,1.544,135,1430.012,4.733,26,0.121,normal
0.453,2.263,2.187,0.153,7.264,2641.068,0.415,9,0.116,normal
1.343,0.747,0.644,0.393,35.743,1374.144,1.6,17,0.503,normal
8.063,0.126,0.247,0.411,49.463,1037.488,12,45,0.292,normal
0.814,1.274,0.928,0.248,23.414,1322.303,0.886,11,0.585,normal
3.18,0.302,0.213,3.526,296.361,1487.14,1.889,21,0.142,normal
2.159,0.392,0.337,0.32,29.377,1361.878,1.768,29,0.325,normal
2.258,0.392,0.337,0.335,30.712,1361.878,1.848,29,0.325,normal
24.083,0.042,0.034,4.273,376.917,1417.012,16.75,49,0.187,normal
4.5,0.047,0.04,2.989,88.5,4221.119,4.5,9,0.227,normal
1.163,0.704,0.495,0.504,34.021,1850.143,1.011,27,0.16,normal
1.267,0.926,0.409,0.449,41.233,1360.956,1.267,14,0.639,normal
20.467,0.051,0.039,3.805,336.333,1414.28,13.667,33,0.137,normal
0.013,96.404,16.044,0.001,0.031,873.333,0.016,2,0.167,normal
0.018,22.675,36.23,0.001,0.159,1002.311,0.012,9,0.985,normal
0.06,16.742,1.903,0.0119,1.173,1265.396,0.037,8,0.211,normal
0.048,17.767,11.395,0.006,0.603,1256.028,0.029,3,0.001,normal
0.14,5.835,3.236,0.001,0.253,417.798,0.063,5,0.002,normal
0.488,2.062,2.734,0.337,28.463,1480.266,0.5,51,0.019,normal
0.191,5.252,6.647,0.067,5.724,1461.537,0.178,40,0.03,normal
0.113,8.84,10.066,0.031,2.71,1447.643,0.11,39,0.021,normal
0.116,8.273,9.02,0.039,3.323,1460.402,0.105,40,0.263,normal
0.749,0.841,2.068,0.208,17.962,1450.129,0.813,85,3.619,normal
0.146,6.887,14.207,0.019,1.795,1304.864,0.155,56,1.709,normal
0.23,4.362,7.224,0.046,4.39,1309.057,0.219,34,0.25,normal
0.197,5.096,10.033,0.007,0.819,1029.549,0.214,30,0.342,normal
0.003,336.7,84.746,0.008,1.121,939.827,0.003,4,0.072,normal
0.114,8.79,15.011,0.032,2.786,1439.784,0.126,28,0.251,normal
2.146,0.466,0.196,0.011,2.731,495,1.75,112,0.006,normal
0.535,1.872,2.375,0.504,42.489,1482.175,0.544,80,0.02,normal
0.408,2.463,2.24,0.369,31.372,1468.429,0.336,42,0.202,normal
0.02,12.684,67.327,0.003,0.248,1339.408,0.02,22,0.24,normal
0.424,2.342,1.941,0.007,0.923,885.155,0.399,10,0.191,normal
0.073,13.691,16.505,0.082,6.99,1460.588,0.061,30,0.243,normal
0.023,44.223,44.125,0.001,0.108,1091.336,0.016,6,0.112,normal
0.217,4.667,8.724,0.052,4.52,1440.224,0.204,36,0.141,normal
0.279,3.58,5.916,0.101,8.614,1462.666,0.269,32,0.185,normal
0.235,4.258,8.278,0.064,5.495,1446.771,0.222,58,0.162,normal
0.33,3.04,5.393,0.052,4.603,1403.389,0.335,82,1.145,normal
0.452,2.215,1.994,0.073,6.452,1422.604,0.511,82,7.635,normal
2.116,0.473,0.152,0.112,12.71,1105.854,0.314,65,0.276,normal
0.205,4.896,2.858,0.033,2.923,1406.195,0.226,19,2.433,normal
1.977,0.506,0.283,0.024,7.488,402.587,0.37,50,0.468,normal
0.003,109.817,18.779,0.001,0.107,262.746,0.003,7,0.09,normal
0.119,6.988,22.63,0.001,0.299,448.58,0.138,13,0.03,normal
0.039,22.58,27.114,0.018,1.504,1456.44,0.042,16,0.276,normal
0.062,15.766,17.146,0.015,1.357,1401.856,0.057,15,0.234,normal
0.009,75.935,96.881,0.001,0.058,1113.893,0.01,14,0.566,normal
0.085,4.975,7.206,0.023,1.954,1457.657,0.086,46,0.108,normal
0.336,2.454,2.115,0.005,0.762,889.627,0.3161,12,0.196,normal
0.011,29.857,40.973,0.001,0.017,416.268,0.012,8,0.382,normal
0.047,21.195,18.695,0.007,0.58,1422.004,0.054,13,10.026,normal
0.36,2.78,0.921,0.107,9.108,1462.535,0.439,50,5.317,normal
0.243,3.693,3.064,0.004,0.751,597.091,0.051,8,0.01,normal
0.268,3.738,4.316,0.311,26.212,1481.22,0.17,24,0.019,normal
0.27,3.702,2.944,0.09,7.739,1451.488,0.265,31,1.915,normal
9.238,0.108,0.111,0.186,30.207,771.591,1.079,129,0.021,normal
10.6,0.079,0.065,0.348,37.6,1157.566,9.33,76,0.061,normal
6.203,0.16,0.116,0.369,29.886,1541.841,5.987,83,0.066,normal
1.804,0.411,0.486,1,85.13,1467.902,1.283,28,0.125,normal
0.77,1.303,1.508,2.195,182.274,1505.589,0.513,27,0.107,normal
2.022,0.502,0.561,5.507,457.4,1505.073,1.422,23,0.1,normal
5.233,0.188,0.31,1.5,134.167,1397.609,4.4,57,0.017,normal
0.23,4.333,1.535,0.01,1.194,1043.181,0.245,17,0.606,normal
5.238,0.19,0.181,0.483,45.09,1338.398,4.754,116,0.087,normal
2.564,0.388,0.292,0.037,5.746,804.511,2.76,59,0.415,normal
20.597,0.049,0.01,0.273,48.227,707.5,23.317,243,0.163,normal
25.947,0.038,0.009,0.338,60.896,694.49,27.516,337,0.032,normal
16.415,0.061,0.047,0.138,29.197,591.558,16.864,407,0.221,normal
42.25,0.024,0.022,0.595,114.676,648.369,43.074,345,0.092,normal
50.756,0.02,0.017,0.514,127.704,503.597,58.941,612,0.032,normal
12.653,0.079,0.056,0.323,45.797,880.646,12.565,411,0.351,normal
11.876,0.084,0.266,0.187,25.742,907.06,21.316,472,0.273,normal
23.152,0.043,0.017,0.669,80.632,1037.249,19.235,445,0.219,normal
27.511,0.036,0.043,0.273,57.528,592.395,40.83,433,0.074,normal
3.608,0.276,0.098,0.049,7.981,763.21,3.769,338,0.279,normal
26.354,0.038,0.03,0.275,54.211,634.284,30.318,243,0.069,normal
23.048,0.043,0.046,0.282,54.811,643.873,30.858,616,0.146,normal
16.842,0.059,0.213,0.196,35.215,695.85,16.341,2846,0.289,normal
19.632,0.051,0.002,0.279,41.211,845.07,19.007,575,0.005,normal
1.911,0.523,0.369,0.085,10.378,1019.084,1.514,85,0.0869,normal
13.474,0.074,0.061,0.078,19.623,494.84,12.868,325,0.009,normal
10.711,0.093,0.019,1.938,206.163,1174.783,3.961,83,0.037,normal
11.3,0.088,0.017,2.624,278.874,1176.114,4.241,125,0.027,normal
10.202,0.098,0.069,0.613,70.569,1086.41,7.51,365,0.023,normal
9.527,0.105,0.06,0.527,69.187,952.924,6.78,189,0.01,normal
25.379,0.039,0.062,0.187,38.049,614.154,24.761,2500,0.0194,normal
0.039,25.563,1.909,0.068,5.721,1494.252,0.045,61,0.411,normal
0.325,3.057,2.579,0.01,1.337,971.013,0.323,185,0.255,normal
4.741,0.211,0.269,0.096,13.028,922.136,5.381,548,0.076,normal
3.138,0.292,0.243,0.01,11.944,1044.617,3.535,948,0.229,normal
10.718,0.093,0.019,1.939,206.291,1174.783,3.964,83,0.037,normal
0.074,25.946,12.869,0.023,2.368,1213.994,0.081,4,0.356,normal
0.071,11.016,7.597,0.001,0.086,440.809,0.061,6,0.001,normal
0.028,34.517,19.972,0.001,0.032,365.289,0.026,2,0.005,normal
0.027,14.977,7.428,0.001,0.034,502.204,0.025,3,0.001,normal
0.025,41.15,50.976,0.014,1.193,1481.936,0.025,15,0.114,normal
0.05,20.164,29.013,0.018,1.524,1463.65,0.04,16,0.052,normal
0.033,30.679,36.861,0.01,0.847,1454.405,0.033,12,0.169,normal
0.047,21.687,26.093,0.024,2.015,1477.466,0.037,14,0.106,normal
0.046,22.043,20.148,0.006,0.519,1413.113,0.051,17,9.859,normal
0.13,7.703,1.985,0.032,2.706,1457.554,0.161,24,7.901,normal
0.149,6.74,2.554,0.021,1.845,1421.447,0.175,17,4.065,normal
0.055,18.252,21.606,0.002,0.223,1210.15,0.062,14,1.49,normal
0.04,22.56,27.114,0.018,1.543,1456.44,0.043,16,0.276,normal
0.009,75.935,96.881,0.001,0.058,1113.893,0.01,14,0.566,normal
0.014,66.912,101.339,0.001,0.04,922.098,0.016,12,0.291,normal
0.009,1.438,1.855,0.001,0.013,480.905,0.011,9,0.231,normal
0.053,15.609,24.428,0.005,0.493,1373.42,0.051,13,0.154,normal
0.011,53.683,77.1,0.001,0.119,1299.996,0.01,7,0.051,normal
0.016,62.835,75.304,0.001,0.111,1293.473,0.017,16,0.962,normal
0.047,21.195,18.695,0.007,0.58,1422.004,0.054,13,10.026,normal
0.027,37.258,26.901,0.001,0.028,592.71,0.031,12,20.719,normal
0.025,40.702,17.636,0.001,0.126,1246.342,0.025,14,0.54,normal
0.019,54.307,57.161,0.002,0.146,1313.59,0.021,16,1.521,normal
0.027,54.307,57.161,0.002,0.21,1313.59,0.03,16,1.52,normal
4.86,0.205,0.17,0.146,19.118,954.646,5.424,92,0.04,normal
23.315,0.043,0.002,0.951,127.411,932.725,0.278,138,0.011,normal
22.515,0.044,0.047,0.127,30.271,524.362,16.699,2552,0.02,normal
0.007,158.593,165.984,0.001,0.007,218.182,0.006,2,0.002,normal
0.06,16.742,1.903,0.012,1.182,1265.396,0.037,8,0.211,normal
0.048,17.767,11.395,0.006,0.603,1256.028,0.029,3,0.001,normal
0.061,9.067,4.367,0.007,0.76,1199.19,0.04,4,0.001,normal
79.906,0.013,0.002,7.175,973.67,921.164,25.072,285,0.014,normal
